#Vorticity	0.5m	
#Error %	1point	5points
12	0.255450606	1.812353199
17	0.058530543	0.667001716
22	0.189850589	1.600618581
27	0.194789356	1.75420089
32	0.154243839	1.48809349
37	0.11160561	0.990373117
52	0.096574928	1.034441839
64	0.222301487	0.772197123
70	0.245160203	0.79064372
76	0.592800447	0.088138456
92	0.455980867	0.047111707
99	0.436127232	0.79315856
102	0.463111368	0.557664361
107	0.201178903	0.281555017
112	0.311191863	0.222753913
116	1.296212716	0.41057388
117	1.607717587	0.998236599
118	0.643563521	0.354291096
119	1.78341654	0.084451052
120	1.9233976	0.856124113
