#Vorticity at 1.1m		
#Error %	1.1 point	1.1 5 points
12	2.033553812	2.317185127
17	0.693438029	5.298309526
22	1.891510733	5.125873681
27	2.244179192	3.618205543
32	1.94366979	1.544802609
37	1.078224075	0.649252597
52	0.334174223	1.428238127
64	0.348982682	0.208884855
70	0.64061778	0.825101069
76	0.806516875	0.332260323
92	0.260725837	0.128916299
99	0.582257403	1.115255138
102	0.886323617	0.202387387
107	1.325420003	0.566260063
112	1.139641947	0.628577783
116	1.821579826	1.456761369
117	0.674885025	0.374437313
118	0.992267194	1.091780733
119	0.17966298	1.884851311
120	2.254340748	2.502850744
