#Aqui es la evolucion de las predicciones para Re = 30. En los puntos
# 0.3m 0.5m y 0.7m porque si ponia mas lejos, el error era grande porque aun
# no se tenia informacion en las primeras iteraciones. Así que poner las mismas situaciones
# asi también para el caso Re =99
#Time	0.3m	0.5m	0.7m
5000	4.264483184	8.652612386	11.57286211
10000	0.52382123	2.518703785	3.317450812
15000	0.198296243	2.006981594	2.42818863
20000	0.167406821	1.958388922	2.33663618
25000	0.16466895	1.954233348	2.32810347
30000	0.164743294	1.954358541	2.32815537
35000	0.164792942	1.954434929	2.328290881
40000	0.164802986	1.954450173	2.328321508
45000	0.164804237	1.954452109	2.328325747
50000	0.164804338	1.954452293	2.328326101
55000	0.164804338	1.954452305	2.328326088
60000	0.164804337	1.954452305	2.328326075
65000	0.164804336	1.954452304	2.328326072
70000	0.164804336	1.954452304	2.328326071
75000	0.164804336	1.954452304	2.328326071
80000	0.164804336	1.954452304	2.328326071
85000	0.164804336	1.954452304	2.328326071
90000	0.164804336	1.954452304	2.328326071
95000	0.164804336	1.954452304	2.328326071
100000	0.164804336	1.954452304	2.328326071
